,Unnamed: 0,Unnamed: 1,Unnamed: 2,CRS_BIS,CRS_M1,CRS_M2,CRS_M3,Climate Speech Score,Climate Similarity Metric,Unnamed: 9
119,2022-07-11,Bank of Italy,Paolo Angelini: Long-term investing and sustainable finance - challenges and perspectives,1,1,1,1,0.768957736873696,0.57795811146124,r220809c
120,2022-07-10,Bank of Greece,Yannis Stournaras: Beyond risk reduction and risk sharing - remarks on the transformation of economic governance in Europe,0,1,1,0,0.191918788549771,0.36702063397616,r220713e
121,2022-07-08,Bank of Italy,Ignazio Visco: Speech - Annual Meeting of the Italian Banking Association  ,0,1,1,0,0.209568751808117,0.43465014297634,r220809b
122,2022-07-07,Banco de Portugal,Mário Centeno: Keynote intervention - 26th Economist Government Roundtable,1,0,0,0,0.142148291787226,0.4385273110655,r220708b
123,2022-07-07,Bank of Spain,Pablo Hernández de Cos: 1st Bank of Spain conference on the Spanish economy,0,1,1,0,0.639253262117649,0.43740482009218,r220708c
124,2022-06-29,Hong Kong Monetary Authority,Arthur Yuen: Building the right talent pool for Hong Kong,0,0,1,0,0.317163841325022,0.42659942331017,r220629a
125,2022-06-29,Reserve Bank of India,Shaktikanta Das: Inaugural address - Statistics Day Conference ,0,1,1,1,0.638187331018901,0.54436537829688,r220629g
126,2022-06-28,European Central Bank,Christine Lagarde: Price stability and policy transmission in the euro area,0,1,1,0,0.235780325948699,0.32280938904633,r220629c
127,2022-06-24,Federal Reserve System,"Lael Brainard: What can we learn from the pandemic and the war about supply shocks, inflation, and monetary policy?",0,1,1,0,0.0648697660521666,0.38305985610611,r221128l
128,2022-06-23,Deutsche Bundesbank,Joachim Nagel: Return of inflation - what do we learn from survey data?,0,1,0,0,0.166418521668728,0.33544313872684,r220624f
129,2022-06-23,Central Bank of Seychelles,Caroline Abel: Closing remarks - incoming chairperson of the African Financial Inclusion Policy Initiative ,0,1,0,0,0.349265337764549,0.44380760542244,r221128b
130,2022-06-22,European Central Bank,"Frank Elderson: Good, bad and hopeful news - the latest on the supervision of climate risks",1,1,1,1,1.04077751951199,0.53677486576722,r220622a
131,2022-06-21,Bank of Slovenia,"Tina Žumer: Steps forward in normalising interest rates in times of war, global uncertainty and structural challenges",1,1,1,1,0.654433598161098,0.53733079069984,r220906d
132,2022-06-20,Netherlands Bank,Klaas Knot: Macroprudential supervision - what's in a name?,0,1,1,1,0.729172243839956,0.60797544330939,r220620k
133,2022-06-20,Bank of Spain,Pablo Hernández de Cos: Making macroprudential policy fit for the next  decade ,0,1,1,1,0.615488852204245,0.51625229470281,r220621n
134,2022-06-17,Bank of France,Denis Beau: Economic and financial situation and outlook in the context of the war in Ukraine,1,1,1,1,0.639669213604567,0.54790093845629,r220620d
135,2022-06-17,Central Bank of the Republic of Kosovo,Fehmi Mehmeti: Financial institutions play an important role in financing the green economy,1,0,0,0,0.369158667252799,0.3800936542787,r220623d
136,2022-06-17,Central Bank of Malaysia,Adnan Zaylani Mohamad Zahid: Signing of the First ESG Islamic Repurchasing Agreement,1,0,0,0,0.117423039435503,0.33299668706899,r220624d
137,2022-06-16,Central Bank of Ireland,Gabriel Makhlouf: Insuring for our future,0,1,1,1,0.761119290131649,0.6062639719866,r220620e
138,2022-06-11,Bank of Italy,Luigi Federico Signorini: Sustainable investment choices - emergencies and transition,1,1,1,1,0.650855470964671,0.53089731035772,r220809a
139,2022-06-09,European Central Bank,Christine Lagarde: ECB press conference - introductory statement,0,1,0,0,0.128704583419856,0.35443729448027,r220609m
140,2022-06-08,Monetary Authority of Singapore,Ravi Menon: Towards net zero in Asia,1,1,1,1,1.67766586574488,0.66341378852839,r220608b
141,2022-06-07,Hong Kong Monetary Authority,Eddie Yue: Opening remarks at the Alliance for green commercial banks Cornerstone members memorandum of understanding signing ceremony,0,1,1,1,1.32081128020673,0.60908422776086,r220608a
142,2022-06-02,Bank of France,"François Villeroy de Galhau: In a highly uncertain world, refocusing Europe's goals and means of actions",0,1,1,0,0.402372125875255,0.42953446675587,r220603d
143,2022-06-02,Deutsche Bundesbank,Claudia Buch: Financial stability implications of the current geopolitical situation,0,1,1,0,0.349938925239706,0.47916903411001,r220607a
144,2022-06-02,Bank of Japan,"Seiji Adachi: Economic activity, prices, and monetary policy in Japan",0,1,0,0,-0.0355662722515554,0.3320993312772,r220610d
145,2022-06-02,Bank of Korea,Chang Yong Rhee: Opening address,0,1,0,0,0.00448270036653996,0.41622325557232,r220713g
146,2022-06-01,Netherlands Bank,Klaas Knot: Propelling a graceful transition - the role of the financial system,1,1,1,1,2.08372883962521,0.76008691279502,r220602f
147,2022-06-01,Central Bank of Ireland,"Gabriel Makhlouf: Climate change - avoiding the ""Do I Feel Lucky?"" school of policymaking",1,1,1,1,1.67744572524245,0.70601476363701,r220603g
148,2022-06-01,European Central Bank,Fabio Panetta: Adapting to the fast-moving cyber threat landscape - no room for complacency,0,0,0,1,0.35261855982247,0.50689337204879,r220603h
149,2022-06-01,Bank of Spain,Pablo Hernández de Cos: Presentation of the Bank of Spain's Annual Report 2021,0,1,1,0,0.325156342675618,0.39415536718794,r220621b
150,2022-05-31,Bank of France,François Villeroy de Galhau: Presentation of the 2021 Annual Report of the Prudential Supervision and Resolution Authority,0,1,0,0,0.374912826703961,0.48267302394886,r220602d
151,2022-05-31,Monetary Authority of Singapore,Ravi Menon: Gearing up for climate action - the road ahead for the Network for Greening the Financial System,1,1,1,1,1.86911909703787,0.71546909140735,r220602e
152,2022-05-31,Central Bank of Ireland,Gabriel Makhlouf: Funds - facing the future,1,1,1,0,0.287552198285636,0.4579828369216,r220602g
153,2022-05-31,Bank of Italy,Ignazio Visco: Overview of economic and financial developments in Italy,0,1,1,0,0.42725035998176,0.43908966382507,r220603a
154,2022-05-31,Sveriges Riksbank,Stefan Ingves: Inflation targeting for nearly 30 years - a robust framework for all times?,0,1,1,0,0.04949790062448,0.41255272416795,r220603i
155,2022-05-25,Bank of Japan,Haruhiko Kuroda: New dimensions and frontiers in central banking,0,1,1,1,0.552055835795599,0.52818346237051,r220531c
156,2022-05-24,Bank of England,Sam Woods: Climate capital,1,1,1,1,2.20737073775049,0.80325017117075,r220524b
157,2022-05-24,Bank of Greece,Yannis Stournaras: Current challenges and the role of the financial sector,1,1,1,1,1.71688462046332,0.71757538026404,r220601d
158,2022-05-24,Central Bank of Malaysia,Suhaimi Ali: Leading change through Value-based Impact,0,1,0,0,0.534065374292983,0.48948636940654,r221004e
159,2022-05-23,National Bank of the Republic of Austria,Robert Holzmann: The return of inflation!,0,1,1,1,0.611701034946427,0.52483556209364,r221121i
160,2022-05-20,Bank of Lithuania,Gediminas Šimkus: Investment in the Baltics - from pandemic to war,0,0,1,0,0.980723683796459,0.48753299648319,r220523f
161,2022-05-20,Bank of Lithuania,Gediminas Šimkus: Investment in the Baltics - from pandemic to war,0,0,1,0,0.980723683796459,0.48753299648319,r220601f
162,2022-05-19,Monetary Authority of Singapore,Ravi Menon: A future ready workforce for an international financial centre,0,1,0,0,0.424667507856659,0.48559313662036,r220519c
163,2022-05-12,Central Bank of Ireland,Gabriel Makhlouf: Time to act - monetary policy and inflation ,0,1,0,0,0.219289913073207,0.42744943903272,r220513f
164,2022-05-11,Deutsche Bundesbank,Claudia Buch: Challenges of contemporary central banks,0,1,0,0,0.184271569240688,0.44001145795527,r220513e
165,2022-05-11,Netherlands Bank,Steven Maijoor: On how climate-related and environmental risks affect banking and its prudential supervision,1,1,1,1,1.48395941800512,0.68696352687064,r221116j
166,2022-05-10,Bank of France,"François Villeroy de Galhau: The sustainability of French debt, between rising interest rates and European rules",1,0,0,0,0.103222116626425,0.33315291216974,r220511a
167,2022-05-10,Deutsche Bundesbank,Joachim Nagel: The impact of the Russian aggression on inflation prospects and monetary policy's response,0,1,1,0,0.423955166278972,0.4060876672845,r220511b
